n,txid,exito,t_verificacion_s,metadatos_ok,integridad,bloque,id_registro,sha256_recuperado
53,7acfdb7c5bbe15d26731a35918ca2fcf252cb2e4fccc6a3174531a5beedba9a1,True,0.212,True,OK,4911527,LCD-63DF83C8D896,2d08c0e50aaf8cbcb1dd003f7682984319ca92f2473ce74aa7e897f4cc1fae51
54,7ab03de213226316a62ca1902fda3b22cd9b864b460b6817295a0d01166b9c17,True,0.22,True,OK,4911530,LCD-6F0CC277320A,f8d05ef55e76389288203cc9e0ee1b4a94dee0a5fa6710de10205d2dc9e8625e
55,6b86d73e34332c7ca1611f3af66c5f91bad925f601d5f2b992aa864ed44e915d,True,0.242,True,OK,4911531,LCD-46DDBDA27B2E,f89edc2595fd05e206c2033e6f5146062f8f9e9460bb6090c91997e4e1fbdcbd
56,44d2f2b200b9e172c07777237f18e3dfa50964c24b491d0ff228be5810b29070,True,0.195,True,OK,4911534,LCD-4B74CC804D4D,1663bbfaf1fdf116fe060d5bfe38ff79d863dda582143abc1fb88dc3ff48b1dc
57,4b87365134914d9e5efafed700a48c8204795229923a15fdff93b565bc392ff7,True,0.219,True,OK,4911539,LCD-AA25B4FAAA5E,b524815f4e1648f36e32174668cc5d85d8614e8bf3103ddc14e769af455bae48
58,1a31b195afff0853d931d3e103c5de9886d6e1ded8ba045b6afe1381621c16aa,True,0.227,True,OK,4911541,LCD-C615BCECF975,5848cec12e812892df549790f4246270afceff548a67afb43e6a9a6b6492b245
59,fd2b587c465c189668a0e04340c2d756335a46fcb79a3039ab903f2f8593478e,True,0.224,True,OK,4911543,LCD-58648466D1ED,b302af7a6556eb8922bf92c89c611072b908c7223d01b3b22ff31b12e05b217c
60,ea061db43053d00ac377d5efc459995c691fdadf4621545c2fff3678bf4f3d91,True,0.205,True,OK,4911545,LCD-A232BBE52C2F,ccb2c34448c32fa24da571a92af4c4c6d09f0dad9d7e2e7b6a1e77503dfc3dab
61,e5a6ad4eb2cb3ddf7680b7688b65ced2d284fe2201c09387d9a3daea03e501ca,True,0.212,True,OK,4911549,LCD-08C9B779F118,607b0be3933ca5553a4a0caee30c2bdc74c2c1c4f8c1e0318831a5764c242567
62,5d70bf52ee91bd1cf669f4da6142a072fd7da5059358a30418af91a3acfdd89c,True,0.222,True,OK,4911550,LCD-AC4BC29219A0,fced5207c7c35ae2be95c1210ba70ff85e1ec90f722a96c273cb5d7750e6b4da
63,4cba4e78104f990ffb1d03d8afe1f5b3b222e30bd9d1aa75bd59c0866ce2ddaa,True,0.256,True,OK,4911553,LCD-00579E3BA1C9,919f73655123ea2bb0ffc2c398cfb3a3e35c967bcf636c37c3c4d0d60ff5f87d
64,9a986a685670bfc81811421eb2600e93f0c9fe3fa720229dd42db6defa93ad23,True,0.193,True,OK,4911556,LCD-BE5E436ACA9B,3fab398fac0f618fb5ef6b7bfec51c5a580d63f5521da88ef4029eb6e8b2222d
65,77826ad61fe7c9d2917dda2ec7f569e328a1fa9abc6fef4afffc14e93cb13780,True,0.278,True,OK,4911558,LCD-DC6C5C6331C4,b9d29913e3513848ab5dab145c4a930b163cb42849586f0809361775e274075e
